strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
539.0,30,5.36,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
540.0,30,5.57,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
541.0,30,5.91,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
542.0,30,6.04,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
543.0,30,6.51,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
544.0,30,6.64,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
545.0,30,6.68,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
546.0,30,7.1,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
547.0,30,7.37,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
548.0,30,7.76,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
549.0,30,7.99,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
550.0,30,8.07,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
551.0,30,8.69,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
552.0,30,8.97,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
553.0,30,9.0,0.015634843750000002,-0.3,0.0,0.0,0.0,561.02,-1
554.0,30,9.33,0.007822421875,-0.3,0.0,0.0,0.0,561.02,-1
555.0,30,9.9,0.007822421875,-0.3,0.0,0.0,0.0,561.02,-1
556.0,30,10.09,0.007822421875,-0.3,0.0,0.0,0.0,561.02,-1
557.0,30,10.75,0.007822421875,-0.3,0.0,0.0,0.0,561.02,-1
558.0,30,10.86,0.0039162109375,-0.3,0.0,0.0,0.0,561.02,-1
559.0,30,11.18,0.0039162109375,-0.3,0.0,0.0,0.0,561.02,-1
560.0,30,11.57,0.00196310546875,-0.3,0.0,0.0,0.0,561.02,-1
561.0,30,11.99,7.103454589843751e-05,-0.3,0.0,0.0,0.0,561.02,-1
562.0,30,12.9,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
563.0,30,13.5,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
564.0,30,13.65,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
565.0,30,14.27,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
566.0,30,14.25,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
567.0,30,15.0,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
568.0,30,15.5,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
569.0,30,16.07,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
570.0,30,16.54,1.0000000000000003e-05,-0.7,0.0,0.0,0.0,561.02,-1
